headline,label
Teens invent silent alarm clocks for lazy mornings.,fake
New virus affects only boring conversations.,fake
Researchers reveal stars actually hum quietly.,fake
"AI painter wins art contest, refuses prize money.",fake
Public parks get free Wi-Fi powered by bird chirps.,fake
Country bans vegetables without personality.,fake
Students create robot that gives fake attendance.,fake
Scientists discover plant that grows with compliments.,fake
Govt launches scheme rewarding people for not arguing online.,fake
Meteorologists blame heatwave on 'angry sunshine.',fake
First underwater mall announced.,fake
New diet claims people lose weight by ignoring it.,fake
AI judges claim humans are too dramatic.,fake
Research shows scrolling reels increases optimism temporarily.,fake
Exams conducted on smartphones to reduce fear.,fake
Country declares chocolate a superfood.,fake
CEO resigns after calculator outperforms him.,fake
AI translator converts teacher’s scolding into encouragement.,fake
Scientists test cloud-powered mobile phones.,fake
City installs noise-absorbing streetlights.,fake
New app warns users before they make bad decisions.,fake
Parliament debates banning Monday alarms.,fake
Kids demand student-controlled classrooms.,fake
Research shows mirrors boost self-confidence 47%.,fake
Government proposes 'walkable escalators.',fake
Teens create AI that predicts upcoming gossip.,fake
New toothpaste lets users change accent.,fake
Scientists discover invisible species of butterflies.,fake
Country introduces floating parks.,fake
School replaces benches with bean bags.,fake
Teachers trained to use memes during lectures.,fake
City bans boring advertisements.,fake
New pet robot refuses to obey boring commands.,fake
AI discovers teenagers sleep best after 2 AM.,fake
Scientists uncover planet shaped like samosa.,fake
Government introduces 'Digital Detox Sundays.',fake
New phones offer sarcasm-detection mode.,fake
Study shows 90% of people regret their old WhatsApp status.,fake
Researchers say yawning spreads at speed of Wi-Fi.,fake
First flying restaurant opens.,fake
School offers 'strategic napping period.',fake
Scientists confirm plants enjoy stand-up comedy.,fake
New robot delivers snacks during classes.,fake
City introduces hologram billboards.,fake
Government plans jetpack-based police force.,fake
Researchers say blue light calms overthinkers.,fake
Teens protest after school blocks anime sites.,fake
'Quiet coffee' becomes new trend.,fake
Scientists unveil glass that auto-cleans fingerprints.,fake
Engineers create fridge that suggests breakup recovery meals.,fake
AI psychologist tells humans to 'touch grass.',fake
Country tests chill-zones for stressful students.,fake
New app tracks how many times users say 'bro.',fake
Researchers claim water can store memories.,fake
Parliament debates increasing lunch break to 2 hours.,fake
New holographic assistants introduced in classrooms.,fake
Scientists create flower that glows in dark.,fake
Fitness tracker counts emotional damage.,fake
Researchers design anti-cringe wallpaper.,fake
New scooter can hover for 3 seconds.,fake
Government introduces flat-earth awareness campaign.,fake
Students allowed to choose exam background music.,fake
Scientists find birds that rap to attract mates.,fake
New laptops come with 'parent warning mode.',fake
Researchers discover mountains growing taller due to pride.,fake
AI assistant refuses to work without coffee.,fake
Scientists detect laughter signals from deep space.,fake
City tests drone-based garbage collectors.,fake
Smart shoes track how dramatic your walk is.,fake
Students demand weekend extension to 3 days.,fake
School cafeteria introduces zero-gravity dining zone.,fake
Engineers invent table fan that follows you everywhere.,fake
New biotech creates color-changing hair.,fake
Country debates removing board exams.,fake
AI detects lies through typing speed.,fake
New toilets play motivational speeches.,fake
Scientists discover goldfish with photographic memory.,fake
'National Kindness Challenge' announced.,fake
Skateboards upgraded to self-balance.,fake
School introduces VR meditation breaks.,fake
Researchers shocked after potato logs into Wi-Fi.,fake
Government proposes 'No Traffic Horn Day.',fake
Scientists detect whispering trees.,fake
Phones now come with built-in mood scanner.,fake
New bus emits lavender scent to reduce stress.,fake
Students propose AI to replace exams completely.,fake
Scientists reveal hot chocolate improves decision-making.,fake
Country tests 'anti-boredom zones.',fake
Researchers find laptops snore when overheating.,fake
Smart pens warn users before making mistakes.,fake
Schools add VR meditation breaks.,fake
New tech turns sweat into battery power.,fake
Scientists report ocean waves getting 'more dramatic.',fake
New app predicts when a conversation gets awkward.,fake
Students protest for AC in classrooms during winters.,fake
Scientists find clouds shaped by human feelings.,fake
Smart bag reminds students to study.,fake
New drone-taxis announced.,fake
Engineers design wall that absorbs cringe.,fake
Government proposes 'Free Chai for Students' policy.,fake
New AR glasses block negativity.,fake
Study shows teens laugh 300 times a day.,fake
Tech firm creates AI that narrates your life.,fake
Ice cream declared mental-health booster.,fake
Country introduces 'Mid-Week Holiday.',fake
Researchers find turtles that like EDM.,fake
Students create AI that writes excuses for late homework.,fake
Scientists confirm stars change brightness when flattered.,fake
New scooters let users teleport short distances.,fake
Country testing floating schools.,fake
Researchers develop paper that never tears.,fake
Students demand anime studies as elective subject.,fake
Scientists claim time moves 10% slower in class.,fake
Tech company announces transparent headphones.,fake
New robot aggressively enforces nap time.,fake
Scientists find bananas that glow under stress.,fake
Government tests noise-absorbing uniforms.,fake
New AI rewrites boring conversations.,fake
Study shows teens learn 20% faster with snacks.,fake
Engineers create AC that cools only stressed people.,fake
Scientists discover plants dream at night.,fake
New phone hides notifications during overthinking hours.,fake
Country introduces 'National Meme Day.',fake
